iter	Logloss
0	0.6378248215
1	0.5935818863
2	0.5531907272
3	0.5229225922
4	0.497294693
5	0.4748444366
6	0.4539876556
7	0.4316506958
8	0.4196855927
9	0.4068517685
10	0.3947277832
11	0.3841648102
12	0.3727661133
13	0.3628809357
14	0.3528427505
15	0.3438864136
16	0.3389782715
17	0.3331777191
18	0.3271508026
19	0.3200137329
20	0.3135673332
21	0.3086054802
22	0.3048415184
23	0.3021190453
24	0.2973772621
25	0.2911226463
26	0.2822238541
27	0.2776002121
28	0.2717913437
29	0.2676795387
30	0.2600425529
31	0.2571239471
32	0.2529139709
33	0.2498581696
34	0.2450020409
35	0.2422250366
36	0.2383064079
37	0.2357430649
38	0.2341899681
39	0.2302093506
40	0.223252449
41	0.2191433334
42	0.216378746
43	0.2126195717
44	0.2082716751
45	0.2035141182
46	0.1991922569
47	0.195824604
48	0.1933385849
49	0.1904854774
50	0.1895523643
51	0.1859312439
52	0.1829260635
53	0.1803208733
54	0.1775795937
55	0.1770618439
56	0.1753998947
57	0.1727075958
58	0.169545784
59	0.1673311234
60	0.165538559
61	0.1624652863
62	0.1611375427
63	0.1595861244
64	0.1577523041
65	0.15608675
66	0.1541110802
67	0.151900425
68	0.1493861961
69	0.1469713783
70	0.1462877464
71	0.1448098946
72	0.1418290901
73	0.1390921497
74	0.1364723396
75	0.1343331146
76	0.1325508785
77	0.1308665752
78	0.1281669426
79	0.1264498901
80	0.1236583328
81	0.1228401756
82	0.122184906
83	0.1211291313
84	0.1203894997
85	0.1196970367
86	0.1192859554
87	0.1190055275
88	0.1173389816
89	0.1165806866
90	0.1156659794
91	0.11397295
92	0.1103181267
93	0.1100074768
94	0.1077598763
95	0.1062848568
96	0.1056196022
97	0.1040944862
98	0.1039145184
99	0.1026773262
