iter	Passed	Remaining
0	55	5485
1	59	2937
2	63	2046
3	66	1607
4	109	2071
5	113	1779
6	118	1569
7	122	1404
8	126	1277
9	130	1175
10	209	1695
11	213	1563
12	216	1449
13	219	1348
14	226	1283
15	308	1619
16	313	1530
17	317	1447
18	321	1369
19	325	1300
20	406	1527
21	409	1452
22	412	1382
23	416	1318
24	420	1260
25	423	1206
26	504	1363
27	508	1307
28	511	1253
29	515	1201
30	518	1153
31	521	1108
32	602	1223
33	606	1177
34	611	1135
35	615	1093
36	623	1061
37	629	1027
38	701	1097
39	705	1058
40	709	1021
41	712	984
42	799	1059
43	803	1023
44	807	986
45	810	951
46	819	923
47	822	891
48	898	935
49	902	902
50	906	871
51	910	840
52	913	810
53	918	782
54	996	815
55	1000	786
56	1003	757
57	1006	728
58	1014	705
59	1094	729
60	1098	702
61	1101	675
62	1106	649
63	1115	627
64	1192	642
65	1197	616
66	1200	591
67	1203	566
68	1206	542
69	1290	552
70	1294	528
71	1298	504
72	1302	481
73	1312	461
74	1317	439
75	1321	417
76	1326	396
77	1335	376
78	1413	375
79	1418	354
80	1421	333
81	1430	314
82	1507	308
83	1512	288
84	1516	267
85	1521	247
86	1529	228
87	1607	219
88	1611	199
89	1614	179
90	1623	160
91	1627	141
92	1634	122
93	1638	104
94	1642	86
95	1647	68
96	1650	51
97	1656	33
98	1735	17
99	1739	0
